timestamp,lat,long,brand,model,constrYear,color,passengers,abLeftFront,abRightFront,abLeftMid,abRightMid,tireLeftFront,tireRightFront,tireLeftRear,tireRightRear,windowFront,windowLeftFront,windowRightFront,windowLeftRear,windowRightRear,windowRear,v10SecAgo,v5SecAgo,v3SecAgo,v2SecAgo,v1SecAgo
8,43.638805,-79.39265,KIA,K900,2006,white,3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,39,21,26,25,8
13,43.640652,-79.383326,Audi,A5,2008,white,4,True,True,True,False,True,False,True,False,True,True,True,True,False,False,191,195,145,121,37
18,43.641413,-79.398864,Chevrolet,Malibu,2008,blue,5,True,True,False,True,False,False,False,True,True,False,False,False,False,False,38,24,30,27,11
23,43.674843,-79.407126,Fiat,Punto,1999,black,3,True,True,True,True,False,False,False,False,False,False,False,False,False,False,80,67,55,66,65
33,43.641996,-79.401896,Audi,A4,2015,black,4,True,True,True,True,False,False,True,True,True,False,False,False,True,True,201,160,171,109,54
43,43.638999,-79.400671,Honda,Civic Tourer,2001,black,2,True,True,False,True,False,False,False,False,False,True,False,False,False,True,4,2,1,0,0
52,43.636364,-79.399747,Toyota,Avensis,1997,white,4,True,False,True,True,True,False,False,False,False,True,False,True,False,True,94,114,107,99,61
58,43.64586,-79.397574,Ford,Focus,2008,blue,2,True,True,True,True,True,True,True,False,False,False,True,True,False,True,194,179,218,230,136
61,43.64573,-79.397589,Toyota,Auris,1999,black,4,True,True,True,False,True,False,False,False,False,False,False,False,False,False,147,100,62,63,18
62,43.674829,-79.407139,GMC,Danyon,2010,black,3,True,True,True,True,False,False,False,False,False,False,False,True,True,False,196,217,203,157,66
70,43.6531,-79.375677,Honda,Civic Limousine,2001,yellow,5,True,False,True,True,False,False,False,False,False,False,False,True,False,False,74,60,68,60,29
80,43.695761,-79.450303,Audi,A5,2005,black,1,True,True,False,True,True,True,False,False,False,True,False,False,True,False,171,206,199,147,110
86,43.685535,-79.446128,Toyota,Auris,2013,white,2,True,True,False,True,False,False,False,True,True,False,False,False,False,False,27,22,20,15,13
91,43.674899,-79.407173,Honda,Jazz,1998,white,4,True,True,False,True,False,True,False,True,True,False,True,False,False,True,187,240,285,219,150
100,43.645444,-79.395205,Chevrolet,Colorado,2005,silver,2,True,True,True,True,True,True,True,False,False,False,True,True,True,True,73,94,100,114,81
103,43.638942,-79.400672,Toyota,Corolla,2001,green,3,True,True,True,True,False,True,True,True,False,True,True,True,True,True,119,106,119,138,99
109,43.65749,-79.36551,Chevrolet,Malibu,2014,gray,5,True,False,False,True,True,False,False,True,False,False,False,False,True,False,24,21,17,18,8
119,43.688323,-79.48342,Chevrolet,Camero,2004,red,4,True,True,True,True,True,True,True,False,False,True,True,False,False,False,195,209,141,112,99
129,43.648761,-79.396437,GMC,Sierra,2016,silver,2,True,False,False,True,False,False,False,True,False,False,False,False,False,True,140,138,91,102,31
136,43.656484,-79.407638,Ford,C-Max,2008,white,2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,59,33,17,20,22
138,43.63893,-79.400652,Hyundai,Accent,2007,white,5,True,False,True,True,False,False,False,True,False,False,False,False,False,False,117,150,87,60,65
145,43.636352,-79.399754,Buick,Cascada,2004,black,1,True,True,True,True,True,False,True,True,False,False,True,True,False,True,148,117,143,126,65
150,43.645498,-79.395225,Mercedes,E-Klasse,1999,black,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,65,56,66,48,24
152,43.636317,-79.399727,GMC,Terrain,2015,blue,2,True,True,True,False,False,False,False,False,False,False,False,False,False,True,6,7,3,2,1
158,43.642625,-79.402247,GMC,Danyon,1999,gray,3,True,True,True,True,True,True,True,True,True,True,False,True,False,True,170,184,170,173,51
166,43.674867,-79.407148,GMC,Sierra,1998,gray,2,True,True,True,True,False,True,False,False,False,False,False,False,False,True,19,18,23,13,13
176,43.642364,-79.383983,KIA,Sedona,2014,silver,1,True,True,True,True,True,True,True,True,True,False,True,True,True,False,122,115,132,137,106
182,43.652191,-79.368535,Hyundai,Sonata,2011,blue,4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,121,141,122,76,22
186,43.642321,-79.383953,Hyundai,Tucson,2008,gray,4,True,True,True,True,False,False,True,True,False,True,True,False,True,False,159,186,214,160,84
195,43.64235,-79.38396,Toyota,Auris,1998,purple,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,37,38,21,10,9
197,43.674851,-79.407106,GMC,Yukon,2010,gray,1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,162,130,88,36,12
205,43.695757,-79.450324,Toyota,Verso,2008,gray,1,False,True,True,True,False,False,True,True,True,False,False,False,False,True,38,22,24,26,27
